C,C,W,W,W,D,D,G,UTIL,,Instructions
,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,,G,Tristan Jarry (7714239),Tristan Jarry,7714239,6400,Pit@SJ 10:30PM ET,Pit,
,,,,,,,,,,C,Mika Zibanejad (7713471),Mika Zibanejad,7713471,6300,NYR@Bos 07:00PM ET,NYR,
,,,,,,,,,,LW,Taylor Hall (7713662),Taylor Hall,7713662,6300,NJ@TB 07:00PM ET,NJ,
,,,,,,,,,,RW,Nikita Kucherov (7713822),Nikita Kucherov,7713822,6300,NJ@TB 07:00PM ET,TB,
,,,,,,,,,,C,Aleksander Barkov (7713539),Aleksander Barkov,7713539,6300,Fla@Was 07:00PM ET,Fla,
,,,,,,,,,,D,P.K. Subban (7714077),P.K. Subban,7714077,6300,Car@Nsh 08:00PM ET,Nsh,
,,,,,,,,,,LW,Johnny Gaudreau (7713726),Johnny Gaudreau,7713726,6300,Cgy@LA 10:00PM ET,Cgy,
,,,,,,,,,,C,Logan Couture (7713578),Logan Couture,7713578,6300,Pit@SJ 10:30PM ET,SJ,
,,,,,,,,,,G,Troy Grosenick (7714238),Troy Grosenick,7714238,6300,Pit@SJ 10:30PM ET,SJ,
,,,,,,,,,,RW,David Pastrnak (7713775),David Pastrnak,7713775,6200,NYR@Bos 07:00PM ET,Bos,
,,,,,,,,,,C,Jack Eichel (7713508),Jack Eichel,7713508,6200,Buf@Ott 07:00PM ET,Buf,
,,,,,,,,,,C,Evgeny Kuznetsov (7713533),Evgeny Kuznetsov,7713533,6200,Fla@Was 07:00PM ET,Was,
,,,,,,,,,,LW,Jeff Skinner (7713699),Jeff Skinner,7713699,6100,Car@Nsh 08:00PM ET,Car,
,,,,,,,,,,RW,Phil Kessel (7713885),Phil Kessel,7713885,6100,Pit@SJ 10:30PM ET,Pit,
,,,,,,,,,,LW,Alexander Radulov (7713632),Alexander Radulov,7713632,6000,Phi@Mon 07:00PM ET,Mon,
,,,,,,,,,,LW,Mike Hoffman (7713650),Mike Hoffman,7713650,6000,Buf@Ott 07:00PM ET,Ott,
,,,,,,,,,,RW,James Neal (7713851),James Neal,7713851,6000,Car@Nsh 08:00PM ET,Nsh,
,,,,,,,,,,C,Artem Anisimov (7713554),Artem Anisimov,7713554,6000,Chi@Dal 08:00PM ET,Chi,
,,,,,,,,,,C,Anze Kopitar (7713565),Anze Kopitar,7713565,6000,Cgy@LA 10:00PM ET,LA,
,,,,,,,,,,D,Mark Giordano (7714119),Mark Giordano,7714119,6000,Cgy@LA 10:00PM ET,Cgy,
,,,,,,,,,,RW,William Nylander (7713788),William Nylander,7713788,5900,Van@Tor 07:00PM ET,Tor,
,,,,,,,,,,D,Shayne Gostisbehere (7713989),Shayne Gostisbehere,7713989,5900,Phi@Mon 07:00PM ET,Phi,
,,,,,,,,,,C,Nicklas Backstrom (7713528),Nicklas Backstrom,7713528,5900,Fla@Was 07:00PM ET,Was,
,,,,,,,,,,LW,Filip Forsberg (7713703),Filip Forsberg,7713703,5900,Car@Nsh 08:00PM ET,Nsh,
