C,C,W,W,W,D,D,G,UTIL,,Instructions,,,,,,
,,,,,,,,,,1. Locate the player you want to select in the list below ,,,,,,
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) ,,,,,,
,,,,,,,,,,3. Paste the ID into the roster position desired ,,,,,,
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name ,,,,,,
,,,,,,,,,,5. You can create up to 500 lineups per file ,,,,,,
 ,,,,,,,,,,,,,,,,
,,,,,,,,,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,,D,Nate Schmidt (6659932),Nate Schmidt,6659932,3000,Was@Pit 08:00PM ET,Was
,,,,,,,,,,D,Ian Cole (6659922),Ian Cole,6659922,2900,Was@Pit 08:00PM ET,Pit
,,,,,,,,,,C,Jay Beagle (6659891),Jay Beagle,6659891,2800,Was@Pit 08:00PM ET,Was
,,,,,,,,,,D,Jordie Benn (6663959),Jordie Benn,6663959,2800,Dal@StL 08:00PM ET,Dal
,,,,,,,,,,D,Stephen Johns (6663962),Stephen Johns,6663962,2800,Dal@StL 08:00PM ET,Dal
,,,,,,,,,,LW,Matt Nieto (6663918),Matt Nieto,6663918,2700,SJ@Nsh 09:00PM ET,SJ
,,,,,,,,,,D,Brian Dumoulin (6659928),Brian Dumoulin,6659928,2700,Was@Pit 08:00PM ET,Pit
,,,,,,,,,,LW,Scottie Upshall (6663901),Scottie Upshall,6663901,2600,Dal@StL 08:00PM ET,StL
,,,,,,,,,,RW,Beau Bennett (6659913),Beau Bennett,6659913,2600,Was@Pit 08:00PM ET,Pit
,,,,,,,,,,D,Brenden Dillon (6663980),Brenden Dillon,6663980,2600,SJ@Nsh 09:00PM ET,SJ
,,,,,,,,,,D,Derrick Pouliot (6659929),Derrick Pouliot,6659929,2600,Was@Pit 08:00PM ET,Pit
,,,,,,,,,,RW,Tom Wilson (6659915),Tom Wilson,6659915,2600,Was@Pit 08:00PM ET,Was
,,,,,,,,,,RW,Melker Karlsson (6663946),Melker Karlsson,6663946,2600,SJ@Nsh 09:00PM ET,SJ
,,,,,,,,,,LW,Dainius Zubrus (6663910),Dainius Zubrus,6663910,2500,SJ@Nsh 09:00PM ET,SJ
,,,,,,,,,,C,Olli Jokinen (6663880),Olli Jokinen,6663880,2500,Dal@StL 08:00PM ET,StL
,,,,,,,,,,D,Barret Jackman (6663969),Barret Jackman,6663969,2500,SJ@Nsh 09:00PM ET,Nsh
,,,,,,,,,,LW,Eric Nystrom (6663911),Eric Nystrom,6663911,2500,SJ@Nsh 09:00PM ET,Nsh
,,,,,,,,,,C,Vernon Fiddler (6663881),Vernon Fiddler,6663881,2500,Dal@StL 08:00PM ET,Dal
,,,,,,,,,,LW,Travis Moen (6663903),Travis Moen,6663903,2500,Dal@StL 08:00PM ET,Dal
,,,,,,,,,,C,Paul Gaustad (6663896),Paul Gaustad,6663896,2500,SJ@Nsh 09:00PM ET,Nsh
,,,,,,,,,,C,Mike Richards (6659887),Mike Richards,6659887,2500,Was@Pit 08:00PM ET,Was
,,,,,,,,,,C,Kyle Brodziak (6663883),Kyle Brodziak,6663883,2500,Dal@StL 08:00PM ET,StL
,,,,,,,,,,LW,Daniel Winnik (6659900),Daniel Winnik,6659900,2500,Was@Pit 08:00PM ET,Was
,,,,,,,,,,D,Peter Harrold (6663950),Peter Harrold,6663950,2500,Dal@StL 08:00PM ET,StL
,,,,,,,,,,RW,Cody Bass (6663938),Cody Bass,6663938,2500,SJ@Nsh 09:00PM ET,Nsh
,,,,,,,,,,RW,Ryan Reaves (6663928),Ryan Reaves,6663928,2500,Dal@StL 08:00PM ET,StL
,,,,,,,,,,D,Mike Weber (6659923),Mike Weber,6659923,2500,Was@Pit 08:00PM ET,Was
,,,,,,,,,,D,Chris Butler (6663955),Chris Butler,6663955,2500,Dal@StL 08:00PM ET,StL
,,,,,,,,,,RW,Kevin Porter (6659912),Kevin Porter,6659912,2500,Was@Pit 08:00PM ET,Pit
,,,,,,,,,,LW,Micheal Haley (6663912),Micheal Haley,6663912,2500,SJ@Nsh 09:00PM ET,SJ
,,,,,,,,,,D,Taylor Chorney (6659926),Taylor Chorney,6659926,2500,Was@Pit 08:00PM ET,Was
,,,,,,,,,,LW,Nick Spaling (6663914),Nick Spaling,6663914,2500,SJ@Nsh 09:00PM ET,SJ
,,,,,,,,,,D,Carl Gunnarsson (6663958),Carl Gunnarsson,6663958,2500,Dal@StL 08:00PM ET,StL
,,,,,,,,,,LW,Magnus Paajarvi (6663905),Magnus Paajarvi,6663905,2500,Dal@StL 08:00PM ET,StL
,,,,,,,,,,RW,Jordan Caron (6663930),Jordan Caron,6663930,2500,Dal@StL 08:00PM ET,StL
,,,,,,,,,,D,Robert Bortuzzo (6663960),Robert Bortuzzo,6663960,2500,Dal@StL 08:00PM ET,StL
,,,,,,,,,,C,Michael Latta (6659893),Michael Latta,6659893,2500,Was@Pit 08:00PM ET,Was
,,,,,,,,,,RW,Gabriel Bourque (6663941),Gabriel Bourque,6663941,2500,SJ@Nsh 09:00PM ET,Nsh
,,,,,,,,,,LW,Austin Watson (6663915),Austin Watson,6663915,2500,SJ@Nsh 09:00PM ET,Nsh
,,,,,,,,,,D,Patrik Nemeth (6663961),Patrik Nemeth,6663961,2500,Dal@StL 08:00PM ET,Dal
,,,,,,,,,,LW,Stanislav Galiev (6659902),Stanislav Galiev,6659902,2500,Was@Pit 08:00PM ET,Was
,,,,,,,,,,D,Petter Granberg (6663978),Petter Granberg,6663978,2500,SJ@Nsh 09:00PM ET,Nsh
,,,,,,,,,,D,Anthony Bitetto (6663979),Anthony Bitetto,6663979,2500,SJ@Nsh 09:00PM ET,Nsh
,,,,,,,,,,C,Ryan Bourque (6659895),Ryan Bourque,6659895,2500,Was@Pit 08:00PM ET,Was
,,,,,,,,,,D,Jamie Oleksiak (6663964),Jamie Oleksiak,6663964,2500,Dal@StL 08:00PM ET,Dal
,,,,,,,,,,RW,Ty Rattie (6663933),Ty Rattie,6663933,2500,Dal@StL 08:00PM ET,StL
,,,,,,,,,,RW,Dmitrij Jaskin (6663934),Dmitrij Jaskin,6663934,2500,Dal@StL 08:00PM ET,StL
,,,,,,,,,,RW,Brett Ritchie (6663935),Brett Ritchie,6663935,2500,Dal@StL 08:00PM ET,Dal
,,,,,,,,,,D,Joel Edmundson (6663965),Joel Edmundson,6663965,2500,Dal@StL 08:00PM ET,StL
,,,,,,,,,,LW,Miikka Salomaki (6663919),Miikka Salomaki,6663919,2500,SJ@Nsh 09:00PM ET,Nsh
,,,,,,,,,,D,Dylan DeMelo (6663982),Dylan DeMelo,6663982,2500,SJ@Nsh 09:00PM ET,SJ
,,,,,,,,,,LW,Scott Wilson (6659905),Scott Wilson,6659905,2500,Was@Pit 08:00PM ET,Pit
,,,,,,,,,,D,Matt Tennyson (6663983),Matt Tennyson,6663983,2500,SJ@Nsh 09:00PM ET,SJ
,,,,,,,,,,C,Jeremy Welsh (6663888),Jeremy Welsh,6663888,2500,Dal@StL 08:00PM ET,StL
,,,,,,,,,,D,Jordan Schmaltz (6663966),Jordan Schmaltz,6663966,2500,Dal@StL 08:00PM ET,StL
,,,,,,,,,,RW,Pontus Aberg (6663944),Pontus Aberg,6663944,2500,SJ@Nsh 09:00PM ET,Nsh
,,,,,,,,,,RW,Colton Sissons (6663945),Colton Sissons,6663945,2500,SJ@Nsh 09:00PM ET,Nsh
,,,,,,,,,,C,Chris Tierney (6663899),Chris Tierney,6663899,2500,SJ@Nsh 09:00PM ET,SJ
,,,,,,,,,,C,Devin Shore (6663890),Devin Shore,6663890,2500,Dal@StL 08:00PM ET,Dal
,,,,,,,,,,C,Oskar Sundqvist (6659896),Oskar Sundqvist,6659896,2500,Was@Pit 08:00PM ET,Pit
,,,,,,,,,,D,Petteri Lindbohm (6663968),Petteri Lindbohm,6663968,2500,Dal@StL 08:00PM ET,StL
,,,,,,,,,,D,Mirco Mueller (6663984),Mirco Mueller,6663984,2500,SJ@Nsh 09:00PM ET,SJ
,,,,,,,,,,LW,Barclay Goodrow (6663922),Barclay Goodrow,6663922,2500,SJ@Nsh 09:00PM ET,SJ
,,,,,,,,,,C,Ryan Carpenter (6663900),Ryan Carpenter,6663900,2500,SJ@Nsh 09:00PM ET,SJ
,,,,,,,,,,RW,Nikolay Goldobin (6663947),Nikolay Goldobin,6663947,2500,SJ@Nsh 09:00PM ET,SJ
,,,,,,,,,,C,Ivan Barbashev (6663891),Ivan Barbashev,6663891,2500,Dal@StL 08:00PM ET,StL
