C,C,W,W,W,D,D,G,UTIL,,Instructions
,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,,LW,Robby Fabbri (7718887),Robby Fabbri,7718887,4200,Col@StL 05:00PM ET,StL,
,,,,,,,,,,RW,Jarome Iginla (7718953),Jarome Iginla,7718953,4200,Col@StL 05:00PM ET,Col,
,,,,,,,,,,D,Kris Russell (7719049),Kris Russell,7719049,4200,Edm@Det 05:00PM ET,Edm,
,,,,,,,,,,C,Travis Zajac (7718833),Travis Zajac,7718833,4200,NJ@Car 06:00PM ET,NJ,
,,,,,,,,,,C,Jordan Staal (7718834),Jordan Staal,7718834,4200,NJ@Car 06:00PM ET,Car,
,,,,,,,,,,C,Sam Bennett (7718876),Sam Bennett,7718876,4200,Cgy@Anh 09:30PM ET,Cgy,
,,,,,,,,,,RW,Troy Brouwer (7719017),Troy Brouwer,7719017,4200,Cgy@Anh 09:30PM ET,Cgy,
,,,,,,,,,,C,Jori Lehtera (7718816),Jori Lehtera,7718816,4100,Col@StL 05:00PM ET,StL,
,,,,,,,,,,LW,Patrick Maroon (7718895),Patrick Maroon,7718895,4100,Edm@Det 05:00PM ET,Edm,
,,,,,,,,,,D,Andrej Sekera (7719050),Andrej Sekera,7719050,4100,Edm@Det 05:00PM ET,Edm,
,,,,,,,,,,C,Adam Henrique (7718836),Adam Henrique,7718836,4100,NJ@Car 06:00PM ET,NJ,
,,,,,,,,,,C,Elias Lindholm (7718838),Elias Lindholm,7718838,4100,NJ@Car 06:00PM ET,Car,
,,,,,,,,,,LW,Sebastian Aho (7718915),Sebastian Aho,7718915,4100,NJ@Car 06:00PM ET,Car,
,,,,,,,,,,D,Noah Hanifin (7719086),Noah Hanifin,7719086,4100,NJ@Car 06:00PM ET,Car,
,,,,,,,,,,LW,Cody Eakin (7718922),Cody Eakin,7718922,4100,Dal@Chi 07:00PM ET,Dal,
,,,,,,,,,,LW,Michael Grabner (7718930),Michael Grabner,7718930,4100,Wpg@NYR 07:00PM ET,NYR,
,,,,,,,,,,RW,Drew Stafford (7719006),Drew Stafford,7719006,4100,Wpg@NYR 07:00PM ET,Wpg,
,,,,,,,,,,LW,Andrew Cogliano (7718941),Andrew Cogliano,7718941,4100,Cgy@Anh 09:30PM ET,Anh,
,,,,,,,,,,D,Oscar Klefbom (7719056),Oscar Klefbom,7719056,4000,Edm@Det 05:00PM ET,Edm,
,,,,,,,,,,RW,Teuvo Teravainen (7718987),Teuvo Teravainen,7718987,4000,NJ@Car 06:00PM ET,Car,
,,,,,,,,,,C,Mathieu Perreault (7718853),Mathieu Perreault,7718853,4000,Wpg@NYR 07:00PM ET,Wpg,
,,,,,,,,,,D,Tyler Myers (7719117),Tyler Myers,7719117,4000,Wpg@NYR 07:00PM ET,Wpg,
,,,,,,,,,,C,Mikael Backlund (7718870),Mikael Backlund,7718870,4000,Cgy@Anh 09:30PM ET,Cgy,
,,,,,,,,,,D,Jay Bouwmeester (7719027),Jay Bouwmeester,7719027,3900,Col@StL 05:00PM ET,StL,
,,,,,,,,,,C,Pavel Zacha (7718840),Pavel Zacha,7718840,3900,NJ@Car 06:00PM ET,NJ,
,,,,,,,,,,LW,P.A. Parenteau (7718903),P.A. Parenteau,7718903,3900,NJ@Car 06:00PM ET,NJ,
,,,,,,,,,,LW,Joakim Nordstrom (7718912),Joakim Nordstrom,7718912,3900,NJ@Car 06:00PM ET,Car,
,,,,,,,,,,LW,Kris Versteeg (7718942),Kris Versteeg,7718942,3900,Cgy@Anh 09:30PM ET,Cgy,
,,,,,,,,,,RW,Nail Yakupov (7718964),Nail Yakupov,7718964,3800,Col@StL 05:00PM ET,StL,
,,,,,,,,,,RW,Mikko Rantanen (7718965),Mikko Rantanen,7718965,3800,Col@StL 05:00PM ET,Col,
,,,,,,,,,,RW,Riley Sheahan (7718972),Riley Sheahan,7718972,3800,Edm@Det 05:00PM ET,Det,
,,,,,,,,,,RW,Devante Smith-Pelly (7718984),Devante Smith-Pelly,7718984,3800,NJ@Car 06:00PM ET,NJ,
,,,,,,,,,,D,Damon Severson (7719077),Damon Severson,7719077,3800,NJ@Car 06:00PM ET,NJ,
,,,,,,,,,,LW,Tyler Motte (7718927),Tyler Motte,7718927,3800,Dal@Chi 07:00PM ET,Chi,
,,,,,,,,,,D,Brian Campbell (7719088),Brian Campbell,7719088,3800,Dal@Chi 07:00PM ET,Chi,
,,,,,,,,,,C,Brandon Pirri (7718858),Brandon Pirri,7718858,3800,Wpg@NYR 07:00PM ET,NYR,
,,,,,,,,,,RW,Blake Comeau (7718954),Blake Comeau,7718954,3700,Col@StL 05:00PM ET,Col,
,,,,,,,,,,RW,Andrej Nestrasil (7718985),Andrej Nestrasil,7718985,3700,NJ@Car 06:00PM ET,Car,
,,,,,,,,,,D,Jaccob Slavin (7719079),Jaccob Slavin,7719079,3700,NJ@Car 06:00PM ET,Car,
,,,,,,,,,,D,Niklas Hjalmarsson (7719094),Niklas Hjalmarsson,7719094,3700,Dal@Chi 07:00PM ET,Chi,
,,,,,,,,,,C,Antoine Vermette (7718865),Antoine Vermette,7718865,3700,Cgy@Anh 09:30PM ET,Anh,
,,,,,,,,,,RW,Alex Chiasson (7719024),Alex Chiasson,7719024,3700,Cgy@Anh 09:30PM ET,Cgy,
,,,,,,,,,,C,Patrik Berglund (7718812),Patrik Berglund,7718812,3600,Col@StL 05:00PM ET,StL,
,,,,,,,,,,D,Niklas Kronwall (7719046),Niklas Kronwall,7719046,3600,Edm@Det 05:00PM ET,Det,
,,,,,,,,,,D,Adam Larsson (7719055),Adam Larsson,7719055,3600,Edm@Det 05:00PM ET,Edm,
,,,,,,,,,,LW,Antoine Roussel (7718923),Antoine Roussel,7718923,3600,Dal@Chi 07:00PM ET,Dal,
,,,,,,,,,,RW,Brett Ritchie (7718999),Brett Ritchie,7718999,3600,Dal@Chi 07:00PM ET,Dal,
,,,,,,,,,,C,Kevin Hayes (7718855),Kevin Hayes,7718855,3600,Wpg@NYR 07:00PM ET,NYR,
,,,,,,,,,,RW,Jesper Fast (7719009),Jesper Fast,7719009,3600,Wpg@NYR 07:00PM ET,NYR,
,,,,,,,,,,RW,Kyle Connor (7719014),Kyle Connor,7719014,3600,Wpg@NYR 07:00PM ET,Wpg,
,,,,,,,,,,LW,Mikhail Grigorenko (7718886),Mikhail Grigorenko,7718886,3500,Col@StL 05:00PM ET,Col,
